Date,USD_to_UAE,Price_oz_USD,Price_g_USD,Price_g_UAE
01/2014,3.6728,1244.27,40.00417959,146.9273508
02/2014,3.6728,1299.58,41.78243606,153.4585312
03/2014,3.6729,1336.08,42.95593743,157.7728626
04/2014,3.6729,1298.45,41.74610574,153.3292718
05/2014,3.6725,1288.74,41.43392223,152.1660794
06/2014,3.6727,1279.1,41.12398926,151.0360754
07/2014,3.673,1310.59,42.13641552,154.7670542
08/2014,3.6729,1295.13,41.63936534,152.937225
09/2014,3.6726,1236.55,39.75597602,146.0077975
10/2014,3.6729,1222.49,39.30393686,144.3594297
11/2014,3.673,1175.33,37.78770878,138.7942543
12/2014,3.6729,1200.62,38.60080055,141.7768804
01/2015,3.673,1250.75,40.21251628,147.7005723
02/2015,3.6727,1227.08,39.45150867,144.8935559
03/2015,3.6728,1178.63,37.89380616,139.1763713
04/2015,3.6727,1198.93,38.54646583,141.5696051
05/2015,3.673,1198.63,38.53682062,141.5457421
06/2015,3.6728,1181.5,37.98607874,139.51527
07/2015,3.6724,1128.31,36.2759818,133.2199156
08/2015,3.6728,1117.93,35.9422573,132.0087226
09/2015,3.6724,1124.77,36.16216824,132.8019467
10/2015,3.6725,1159.25,37.27072516,136.8767381
11/2015,3.6726,1086.44,34.92983105,128.2832975
12/2015,3.6716,1075.74,34.58581832,126.9852905
01/2016,3.6729,1097.91,35.29859984,129.6482273
02/2016,3.6726,1199.5,38.56479174,141.6330542
03/2016,3.6726,1245.14,40.03215072,147.0220767
04/2016,3.6729,1242.26,39.93955664,146.6939976
05/2016,3.6726,1260.95,40.54045365,148.8888701
06/2016,3.6726,1276.4,41.03718231,150.7131558
07/2016,3.673,1336.66,42.97458485,157.8456502
08/2016,3.6726,1340.17,43.08743389,158.2429097
09/2016,3.6726,1326.61,42.65147009,156.6417891
10/2016,3.6729,1266.55,40.72049769,149.562316
11/2016,3.6723,1238.35,39.81384732,146.2083915
12/2016,3.6724,1157.36,37.20996029,136.6498582
01/2017,3.6724,1192.1,38.3268764,140.7516209
02/2017,3.672,1234.2,39.68042182,145.7065089
03/2017,3.6724,1231.42,39.59104281,145.3941456
04/2017,3.6724,1266.88,40.73110743,149.5809189
05/2017,3.6727,1246.04,40.06108637,147.1323519
06/2017,3.6726,1260.26,40.51826965,148.8073971
07/2017,3.6726,1236.84,39.76529973,146.0420398
08/2017,3.6724,1283.04,41.25066311,151.4889352
09/2017,3.6721,1314.07,42.24830003,155.1399825
10/2017,3.6722,1279.51,41.13717106,151.0639196
11/2017,3.6724,1281.9,41.21401128,151.354335
12/2017,3.6726,1264.45,40.65298118,149.3021387
01/2018,3.6721,1331.3,42.80225698,157.1741679
02/2018,3.6724,1330.73,42.78393107,157.1197085
03/2018,3.6724,1324.66,42.58877618,156.4030217
04/2018,3.6728,1334.76,42.91349848,157.6126972
05/2018,3.6728,1303.45,41.90685936,153.915513
06/2018,3.6728,1281.57,41.20340155,151.3318532
07/2018,3.6728,1237.71,39.79327085,146.1527252
08/2018,3.6728,1201.71,38.63584484,141.9017309
09/2018,3.6728,1198.39,38.52910444,141.5096948
10/2018,3.6725,1215.39,39.07566673,143.505386
11/2018,3.6728,1220.65,39.24477953,144.1382262
12/2018,3.6728,1250.4,40.20126352,147.6512007
01/2019,3.6727,1291.75,41.5306959,152.5297868
02/2019,3.6727,1320.07,42.44120437,155.8738113
03/2019,3.6726,1300.9,41.82487501,153.606036
04/2019,3.6728,1285.91,41.34293568,151.8443342
05/2019,3.6728,1283.7,41.27188259,151.5833704
06/2019,3.6728,1359.04,43.69411803,160.4797567
07/2019,3.6728,1412.89,45.42543444,166.8385356
08/2019,3.6728,1500.41,48.23926568,177.173175
09/2019,3.6727,1510.58,48.56623853,178.3692242
10/2019,3.6726,1494.81,48.05922163,176.5022974
11/2019,3.6728,1470.79,47.28696127,173.6755514
12/2019,3.6728,1479.13,47.5550983,174.660365
01/2020,3.6726,1560.67,50.17666822,184.2788317
02/2020,3.6728,1597.1,51.34791904,188.5906371
03/2020,3.6728,1591.93,51.18169981,187.9801471
04/2020,3.6727,1683.17,54.11513174,198.7486443
05/2020,3.6728,1715.91,55.1677464,202.620099
06/2020,3.6728,1732.22,55.69212468,204.5460355
07/2020,3.6728,1846.51,59.36663077,218.0417615
08/2020,3.6728,1968.63,63.29287701,232.4620787
09/2020,3.6728,1921.92,61.79111676,226.9464136
10/2020,3.6728,1900.27,61.09505361,224.3899129
11/2020,3.6728,1866.3,60.00289357,220.3786275
12/2020,3.6728,1858.42,59.74954587,219.4481321
01/2021,3.6728,1866.98,60.02475606,220.458924
02/2021,3.6728,1808.17,58.13397206,213.5144526
03/2021,3.6728,1718.23,55.24233607,202.8940519
04/2021,3.6726,1760.04,56.58655778,207.8197921
05/2021,3.6724,1850.26,59.48719597,218.4607785
06/2021,3.6728,1834.57,58.98275114,216.6318484
07/2021,3.6726,1807.84,58.12336232,213.4638605
08/2021,3.6728,1785.28,57.39804202,210.8115287
09/2021,3.6729,1775.14,57.07203369,209.6198726
10/2021,3.6729,1776.85,57.12701143,209.8218003
11/2021,3.6727,1821.76,58.57090038,215.1133458
12/2021,3.6726,1790.43,57.56361824,211.4081444
01/2022,3.6726,1816.02,58.38635523,214.4297282
02/2022,3.6726,1856.3,59.68138634,219.1858595
03/2022,3.6726,1947.83,62.62414198,229.9934238
04/2022,3.6726,1936.86,62.27144855,228.6981219
05/2022,3.6726,1848.5,59.4306107,218.2648609
06/2022,3.6727,1836.57,59.04705258,216.86211
07/2022,3.6727,1732.74,55.70884306,204.6018679
08/2022,3.6727,1764.56,56.73187905,208.3591722
09/2022,3.6727,1680.78,54.03829151,198.4664332
10/2022,3.6727,1664.45,53.51327021,196.5381875
11/2022,3.6727,1725.07,55.46224701,203.6961946
12/2022,3.6721,1797.55,57.79253139,212.2199545
01/2023,3.6727,1897.71,61.01274776,224.0815187
02/2023,3.6727,1854.54,59.62480107,218.9840069
03/2023,3.6724,1912.73,61.49565161,225.836631
04/2023,3.6718,1999.77,64.29405051,236.0748947
05/2023,3.6724,1992.13,64.04841899,235.2114139
06/2023,3.6726,1942.9,62.46563892,229.4113055
07/2023,3.6726,1951.02,62.72670278,230.3700886
08/2023,3.6726,1918.7,61.68759143,226.5538483
09/2023,3.6726,1915.95,61.59917694,226.2291372
10/2023,3.6729,1916.25,61.60882216,226.2830429
11/2023,3.672,1984.11,63.79057019,234.2389737
12/2023,3.6723,2026.18,65.14315109,239.2251938
01/2024,3.6726,2034.04,65.39585577,240.1728199
02/2024,3.6724,2023.24,65.04862797,238.8845813
03/2024,3.6722,2158.01,69.38158085,254.7830412
04/2024,3.6724,2331.45,74.95780218,275.2750327
05/2024,3.6729,2351.13,75.5905284,277.6364517
06/2024,3.6729,2326.44,74.79672706,274.7208988
07/2024,3.6727,2398.2,77.10386291,283.1793573
08/2024,3.6726,2470.15,79.4171074,291.6672686
09/2024,3.6728,2570.55,82.64503995,303.5387027
10/2024,3.6729,2690.08,86.48801582,317.6618333
11/2024,3.6729,2651.13,85.23574517,313.0623684
12/2024,3.6726,2648.01,85.13543492,312.6683983
01/2025,3.6731,2709.69,87.11849149,319.9949311
02/2025,3.6728,2894.73,93.0676612,341.818906
03/2025,3.673,2983.25,95.91364316,352.2908113
04/2025,3.6731,3217.64,103.449451,379.9801786
05/2025,3.673,3309.49,106.4024949,390.8163638
06/2025,3.6726,3352.66,107.7904416,395.8711758
07/2025,3.6731,3340.15,107.3882361,394.4477298
08/2025,3.6727,3448,110.8556915,407.1396981
09/2025,3.6731,3858.51,124.0538846,455.6623236
10/2025,3.673,4002.28,128.676194,472.6276606
11/2025,3.6731,4230.63,136.0178115,499.6070234
12/2025,3.6728,4232.73,136.085328,499.8141927
01/2026,3.6725,4348.35,139.8025946,509.540099
